,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,timestamp
0,1510.71,1172.86,1300,2732.14,4071.43,3428.57,3685.71,5058.33,1994.29,,8446,7578.2,4230.57,7000.33,8123,5287,,10250,904,362.43,1117.86,600,01-01-2009
1,1512.5,1260,1381.67,2716.67,4050,3566.67,3883.33,5072,1955,,7797.2,7402,4333.33,6437.75,7417.25,4611.33,,8000,924,462.5,1166.67,600,02-01-2009
2,1518.333333,1240,1371.113333,2749.446667,4073.333333,3579.446667,3852.22,5105.333333,1972.666667,,8160.633333,7482.556667,4426.42,6473.5,7459.943333,4619.11,,9500,924.6666667,453.6666667,1287.78,584.6153846,03-01-2009
3,1524.166667,1220,1360.556667,2782.223333,4096.666667,3592.223333,3821.11,5138.666667,1990.333333,,8524.066667,7563.113333,4519.51,6509.25,7502.636667,4626.89,,11000,925.3333333,444.8333333,1408.89,569.2307692,04-01-2009
4,1530,1200,1350,2815,4120,3605,3790,5172,2008,,8887.5,7643.67,4612.6,6545,7545.33,4634.67,,12500,926,436,1530,553.8461538,05-01-2009
5,1533.33,1266.67,1350,2779.17,4087.5,3704.17,3825,5172,1996.67,,8490,7546,4510.5,6545,7545.33,4664.67,,12500,926,500.83,1558.33,538.4615385,06-01-2009
6,1530,1200,1350,2815,4105,3605,3790,5172,2016,,8887.5,7546,4632.8,6611.67,7562,4714.67,,12500,926,462.4,1650,523.0769231,07-01-2009
7,1583.75,1300,1383.335,2816.875,4180.625,3668.125,3913.75,5258,2006.75,,8108.75,7564.25,4553.4,5805.835,6456,4289.835,,12500,943,576.45,1681.25,507.6923077,08-01-2009
8,1637.5,1400,1416.67,2818.75,4256.25,3731.25,4037.5,5344,1997.5,,7330,7582.5,4474,5000,5350,3865,,12500,960,690.5,1712.5,492.3076923,09-01-2009
9,1637.5,1400,1432.223333,2818.75,4264.583333,3731.25,4037.5,5344,1997.5,,7341.11,7582.5,4474,5000,5333.333333,3865,,12500,960,690.5,1695.833333,476.9230769,10-01-2009
10,1637.5,1400,1447.776667,2818.75,4272.916667,3731.25,4037.5,5344,1997.5,,7352.22,7582.5,4474,5000,5316.666667,3865,,12500,960,690.5,1679.166667,461.5384615,11-01-2009
11,1637.5,1400,1463.33,2818.75,4281.25,3731.25,4037.5,5344,1997.5,,7363.33,7582.5,4474,5000,5300,3865,,12500,960,690.5,1662.5,446.1538462,12-01-2009
12,1700,1160,1310,2975,4350,3725,3800,5400,2160,,9890,7765,4725,5266.666667,5844.333333,4032.5,,12500,960,225,1050,430.7692308,13-01-2009
13,1575,1190,1405,2987.5,4325,3512.5,4000,5344,2130,,9890,7582.5,4179,5533.333333,6388.666667,4200,,12500,910,337.5,1362.5,415.3846154,14-01-2009
14,1650,1353.33,1265,2691.67,4183.33,3508.33,3700,5200,2053.33,,7738.67,7382.5,4352.67,5800,6933,4200,,10250,955,465,1208.33,400,15-01-2009
15,1550,1200,1326.67,2791.67,4250,3341.67,3766.67,5229.33,2120,,8608,7388.33,4218,5800,6933,4200,,10250,923.33,281.67,1287.33,400,16-01-2009
16,1560,1256,1355.28,2776.113333,4266.666667,3422.78,3814.446667,5229.33,2100,,8177.5,7388.33,4271.133333,5666.666667,6644.166667,4066.666667,,10250,934.72,364.1133333,1328.22,400,17-01-2009
17,1570,1312,1383.89,2760.556667,4283.333333,3503.89,3862.223333,5229.33,2080,,7747,7388.33,4324.266667,5533.333333,6355.333333,3933.333333,,10250,946.11,446.5566667,1369.11,400,18-01-2009
18,1580,1368,1412.5,2745,4300,3585,3910,5229.33,2060,,7316.5,7388.33,4377.4,5400,6066.5,3800,,10250,957.5,529,1410,400,19-01-2009
19,1600,1313.33,1483.33,2858.33,4400,3708.33,4066.67,5381.5,2113.33,,8020,7582.5,4562.67,5000,5150,3740,,12500,960,500,1508.33,400,20-01-2009
20,1562.5,1325,1333.33,2793.75,4393.75,3456.25,3975,5279.33,2112.5,,7672,7388.33,4013.5,5800,6933,4200,,10250,923.33,492.5,1431.25,400,21-01-2009
21,1528.57,1277.14,1350,2782.14,4253.57,3539.29,3842.86,5167.6,2105.71,,8096,7384.5,4372.29,6483.5,7329.75,4618,,10250,930,500,1575,500,22-01-2009
22,1531.25,1207.5,1362.5,2762.5,4150,3650,3750,5200,2122.5,,8862.5,7655.5,4858.25,6667,7495.33,4837,,12500,942.5,437.5,1584.25,500,23-01-2009
23,1523.4375,1215.125,1349.6875,2776.875,4161.25,3607.5,3782.5,5205.5,2121.875,,8850,7634.2075,4703.8375,6900.375,7800.9975,4949.5,,12500,930,453.125,1592.5375,500,24-01-2009
24,1515.625,1222.75,1336.875,2791.25,4172.5,3565,3815,5211,2121.25,,8837.5,7612.915,4549.425,7133.75,8106.665,5062,,12500,917.5,468.75,1600.825,500,25-01-2009
25,1507.8125,1230.375,1324.0625,2805.625,4183.75,3522.5,3847.5,5216.5,2120.625,,8825,7591.6225,4395.0125,7367.125,8412.3325,5174.5,,12500,905,484.375,1609.1125,500,26-01-2009
26,1500,1238,1311.25,2820,4195,3480,3880,5222,2120,,8812.5,7570.33,4240.6,7600.5,8718,5287,,12500,892.5,500,1617.4,500,27-01-2009
27,1532.14,1214.29,1257.5,2800,4367.86,3357.14,3871.43,5214.67,2139.29,,8318.17,7455.4,4229,6700,7700.5,6035.67,,10166.67,920,428.57,1557.14,500,28-01-2009
28,1545,1284,1361.25,2860,4275,3660,3960,5200,2113,,8220,7655.5,4560.6,6683.67,7478.67,4827,,12500,942.5,490,1480,500,29-01-2009
29,1658.33,1293.33,1348.33,2833.33,4633.33,3366.67,4100,5500,2133.33,,7707.67,7789,4140.33,5666,6633,7533,,11250,980,483.33,1387.33,500,30-01-2009
30,1612.846667,1258.886667,1337.803333,2860.136667,4585.97,3413.196667,4045.833333,5416.57,2143.886667,,7934.113333,7635.89,4196.553333,5888.5,6898.056667,6550.416667,,11125,963.81,449.3033333,1381.136667,500,31-01-2009
31,1567.363333,1224.443333,1327.276667,2886.943333,4538.61,3459.723333,3991.666667,5333.14,2154.443333,,8160.556667,7482.78,4252.776667,6111,7163.113333,5567.833333,,11000,947.62,415.2766667,1374.943333,500,01-02-2009
32,1521.88,1190,1316.75,2913.75,4491.25,3506.25,3937.5,5249.71,2165,,8387,7329.67,4309,6333.5,7428.17,4585.25,,10875,931.43,381.25,1368.75,500,02-02-2009
33,1496.43,1203.57,1347.71,2958.57,4432.86,3521.43,3942.86,5231.33,2185.71,,8550.33,7255,4305.57,6506.8,7587.2,4691.33,,11166.67,920,392.86,1407.14,500,03-02-2009
34,1514.44,1243.33,1363.56,2905.56,4433.33,3511.11,3994.44,5131.33,2205,,7974.62,7155.67,4403,6037.86,6725.33,4308.2,,10875,964.44,414.44,1322.22,500,04-02-2009
35,1495.83,1216.67,1389,3053.33,4405,3550,4066.67,5357.6,2229.17,,8853.8,7577,4352,6650.25,7800.75,4691.33,,12750,914,438.33,1456.17,500,05-02-2009
36,1510.71,1200,1363.57,2988.57,4418.57,3528.57,3942.86,5281.33,2229.29,,8622.67,7501.6,4349.29,6406.8,7507.2,4585.25,,11666.67,928.33,418.57,1376.71,500,06-02-2009
37,1515.473333,1191.666667,1375.156667,3073.49,4536.823333,3607.936667,4028.573333,5363.996667,2263.97,,8872.28,7534.176667,4405.636667,6448.866667,7893.8,4456.833333,,12027.78,922.22,393.49,1346.916667,500,07-02-2009
38,1520.236667,1183.333333,1386.743333,3158.41,4655.076667,3687.303333,4114.286667,5446.663333,2298.65,,9121.89,7566.753333,4461.983333,6490.933333,8280.4,4328.416667,,12388.89,916.11,368.41,1317.123333,500,08-02-2009
39,1525,1175,1398.33,3243.33,4773.33,3766.67,4200,5529.33,2333.33,,9371.5,7599.33,4518.33,6533,8667,4200,,12750,910,343.33,1287.33,500,09-02-2009
40,1475,1145,1336.25,2962.5,4312.5,3400,3900,5272,2237.5,,9865.33,7457,4386.25,7600.5,8718,5287,,12500,892.5,366.75,1465.5,500,10-02-2009
41,1497.5,1196.88,1347.43,2921.88,4415.62,3500,4056.25,5181.33,2220.62,,8143.71,7051.17,4303.88,6301.6,7217.25,4585.25,,11687.5,886.88,438.12,1307.75,500,11-02-2009
42,1500,1236,1391,2930,4330,3400,4020,5350,2210,,8799,7334.67,4169,6700.33,7478.67,4691.33,,12500,914,496,1402.4,500,12-02-2009
43,1498.33,1220,1390.5,3050,4458.33,3550,4041.67,5420,2208.33,,8779.2,7459.25,4329.67,6667,7775.75,4691.33,,12750,914,436.17,1456.17,500,13-02-2009
44,1498.886667,1225.333333,1390.666667,3010,4415.553333,3513.333333,4021.113333,5396.666667,2200.553333,,8785.8,7417.723333,4276.113333,6678.11,7676.723333,4691.33,,12666.66667,914,442.78,1446.58,500,14-02-2009
45,1499.443333,1230.666667,1390.833333,2970,4372.776667,3476.666667,4000.556667,5373.333333,2192.776667,,8792.4,7376.196667,4222.556667,6689.22,7577.696667,4691.33,,12583.33333,914,449.39,1436.99,500,15-02-2009
46,1500,1236,1391,2930,4330,3440,3980,5350,2185,,8799,7334.67,4169,6700.33,7478.67,4691.33,,12500,914,456,1427.4,500,16-02-2009
47,1505.71,1290.71,1405.43,2978.57,4557.14,3585.71,4100,5212,2171.43,,7764.33,7009.75,4379.57,6164.17,7106,4351,,10500,936.67,461.43,1471.43,500,17-02-2009
48,1492.22,1205.89,1352.62,2998.33,4525,3616.67,4016.67,5242.86,2219.44,,8150.38,6966.86,4358.33,6372.5,7567.2,4691.33,,11850,880.62,434.44,1369.44,500,18-02-2009
49,1499.29,1217.14,1365,2987.14,4457.14,3507.14,4004.29,5250,2210.71,,8449.33,7174.2,4297,6440.2,7607.2,4758,,11166.67,920,398.86,1425,500,19-02-2009
50,1485,1208.57,1365,2987.14,4457.14,3508.57,4005.71,5233.33,2210.71,,8437.17,7174.2,4297,6440.2,7607.2,4758,,11166.67,920,398.86,1417.86,500,20-02-2009
51,1540,1200.713333,1361.666667,3008.093333,4554.76,3572.38,3937.14,5288.886667,2248.806667,,8872.446667,7371.133333,4427.333333,6641.3175,7880.65,4877.75,,11611.11333,933.3333333,374.24,1295.24,500,21-02-2009
52,1595,1192.856667,1358.333333,3029.046667,4652.38,3636.19,3868.57,5344.443333,2286.903333,,9307.723333,7568.066667,4557.666667,6842.435,8154.1,4997.5,,12055.55667,946.6666667,349.62,1172.62,500,22-02-2009
53,1650,1185,1355,3050,4750,3700,3800,5400,2325,,9743,7765,4688,7043.5525,8427.55,5117.25,,12500,960,325,1050,500,23-02-2009
54,1459,1134,1353,3102,4440,3592,3956,5380,2255,,9547.5,7467.75,4542.4,7244.67,8701,5237,,12750,892.5,378.4,1512.4,500,24-02-2009
55,1496.88,1268.75,1411.5,3079.38,4534.38,3701.25,4116.25,5380,2215.62,,8107.43,7351.6,4530.88,6153,7157.2,4348.5,,12833.33,961.43,459,1445.25,500,25-02-2009
56,1612.5,1421.25,1453.75,2862.5,4762.5,3650,4087.5,4950,2156.25,,6856.5,6682.5,4355.5,4927.67,5361,3475,,10250,992.5,478,1215.5,500,26-02-2009
57,1600,1447.5,1503.75,2962.5,4737.5,3775,4250,5100,2175,,6790,7229,4245.5,4600,4650,3690,,12500,995,583,1240.5,508.6206897,27-02-2009
58,1563.333333,1363.89,1463.056667,3026.11,4741.666667,3777.776667,4205.556667,5144.443333,2222.223333,,7582.833333,7267.333333,4320.89,5244.333333,6100,3826.666667,,12583.33333,980,511.5,1249.833333,517.2413793,28-02-2009
59,1526.666667,1280.28,1422.363333,3089.72,4745.833333,3780.553333,4161.113333,5188.886667,2269.446667,,8375.666667,7305.666667,4396.28,5888.666667,7550,3963.333333,,12666.66667,965,440,1259.166667,525.862069,01-03-2009
60,1490,1196.67,1381.67,3153.33,4750,3783.33,4116.67,5233.33,2316.67,,9168.5,7344,4471.67,6533,9000,4100,,12750,950,368.5,1268.5,534.4827586,02-03-2009
61,1526.67,1216.67,1392,3206.67,4883.33,3816.67,4206.67,5233.33,2293.33,,9168.5,7377,4460.33,6533,8667,4100,,12750,950,368.5,1318.5,543.1034483,03-03-2009
62,1600,1370,1482.5,2875,4525,3725,4025,4900,2137.5,,7485,7765,3957.5,4700,4800,3600,,12500,970,587.5,1118.5,551.7241379,04-03-2009
63,1600,1340,1482.5,2875,4525,3725,3975,4900,2200,,7498.5,7619,3939,4600,5000,3600,,12500,970,593.5,1068.5,560.3448276,05-03-2009
64,1600,1340,1482.5,2875,4525,3725,3975,4900,2200,,7498.5,7619,3939,4600,5000,3600,,12500,970,593.5,1068.5,568.9655172,06-03-2009
65,1589.583333,1350.416667,1495.583333,2887.5,4529.166667,3745.833333,4062.5,4883.333333,2206.083333,,7502.333333,7351.776667,3938.083333,4655.5,5055.5,3722.223333,,12616.66667,965.8333333,596.9166667,1064.416667,577.5862069,07-03-2009
66,1579.166667,1360.833333,1508.666667,2900,4533.333333,3766.666667,4150,4866.666667,2212.166667,,7506.166667,7084.553333,3937.166667,4711,5111,3844.446667,,12733.33333,961.6666667,600.3333333,1060.333333,586.2068966,08-03-2009
67,1568.75,1371.25,1521.75,2912.5,4537.5,3787.5,4237.5,4850,2218.25,,7510,6817.33,3936.25,4766.5,5166.5,3966.67,,12850,957.5,603.75,1056.25,594.8275862,09-03-2009
68,1554.166667,1296.666667,1469.5,2883.333333,4566.666667,3741.666667,4041.666667,4691.666667,2238,,7681.833333,7084.553333,4156.333333,4876,5390.285714,4050.0025,,12733.33333,865.8333333,556.6666667,1026.166667,603.4482759,10-03-2009
